,adni_order_mcmc,adni_prior_order_mcmc,adni_best_order_plain_old,adni_best_order_prior_old,adni_best_order_aver_prior_old,order_mcmc,prior_order_mcmc,uncorrected_order_mcmc,prior_uncorrected_order_mcmc
0,R_entorhinal,R_entorhinal,L_parsorbitalis,L_entorhinal,L_parsorbitalis,R_lateraloccipital,R_lateraloccipital,R_lateralorbitofrontal,R_lateralorbitofrontal
1,L_entorhinal,L_entorhinal,L_fusiform,L_fusiform,L_superiortemporal,L_lateraloccipital,R_inferiorparietal,R_inferiortemporal,R_inferiortemporal
2,L_inferiortemporal,L_inferiortemporal,L_superiortemporal,L_superiortemporal,R_entorhinal,L_inferiorparietal,L_inferiorparietal,R_superiorfrontal,R_superiorfrontal
3,R_inferiortemporal,R_inferiortemporal,R_fusiform,R_temporalpole,R_temporalpole,R_inferiorparietal,R_superiorparietal,R_superiortemporal,R_superiortemporal
4,L_rostralanteriorcingulate,L_rostralanteriorcingulate,R_middletemporal,R_entorhinal,L_middletemporal,R_superiorparietal,L_superiorparietal,R_postcentral,R_postcentral
5,L_middletemporal,L_middletemporal,R_entorhinal,R_parahippocampal,L_inferiortemporal,L_superiorparietal,L_precuneus,R_middletemporal,R_middletemporal
6,R_fusiform,R_fusiform,R_temporalpole,R_fusiform,L_fusiform,L_precuneus,R_precuneus,L_lateraloccipital,L_lateraloccipital
7,R_bankssts,R_bankssts,R_superiortemporal,R_inferiortemporal,L_entorhinal,R_precuneus,L_supramarginal,L_postcentral,L_postcentral
8,L_inferiorparietal,R_middletemporal,L_inferiortemporal,R_middletemporal,L_temporalpole,L_supramarginal,L_paracentral,L_superiorparietal,L_superiorparietal
9,L_bankssts,L_inferiorparietal,R_inferiorparietal,R_superiortemporal,L_lateralorbitofrontal,L_paracentral,L_precentral,L_inferiorparietal,L_inferiorparietal
10,R_middletemporal,L_bankssts,L_middletemporal,R_supramarginal,L_superiorfrontal,L_precentral,R_precentral,L_supramarginal,L_supramarginal
11,R_posteriorcingulate,R_posteriorcingulate,L_superiorfrontal,R_inferiorparietal,L_rostralmiddlefrontal,R_precentral,L_caudalmiddlefrontal,L_lingual,L_lingual
12,R_supramarginal,L_supramarginal,L_lateralorbitofrontal,R_precuneus,L_bankssts,R_caudalmiddlefrontal,R_caudalmiddlefrontal,L_fusiform,L_fusiform
13,R_isthmuscingulate,R_isthmuscingulate,L_bankssts,L_inferiortemporal,L_insula,L_caudalmiddlefrontal,R_superiorfrontal,R_lateraloccipital,R_lateraloccipital
14,L_supramarginal,L_fusiform,L_entorhinal,L_temporalpole,R_superiortemporal,R_superiorfrontal,L_superiorfrontal,R_fusiform,R_fusiform
15,L_fusiform,L_isthmuscingulate,L_temporalpole,L_middletemporal,R_middletemporal,L_superiorfrontal,L_rostralmiddlefrontal,R_inferiorparietal,R_inferiorparietal
16,L_isthmuscingulate,R_parsorbitalis,R_parahippocampal,L_supramarginal,R_fusiform,L_rostralmiddlefrontal,L_postcentral,R_superiorparietal,R_superiorparietal
17,R_parsorbitalis,R_superiorfrontal,R_insula,L_parsorbitalis,R_parahippocampal,L_postcentral,R_postcentral,R_precuneus,R_precuneus
18,L_parstriangularis,L_parstriangularis,L_insula,L_parstriangularis,R_inferiortemporal,R_postcentral,R_supramarginal,L_precuneus,L_precuneus
19,L_superiortemporal,R_insula,R_inferiortemporal,L_parsopercularis,R_inferiorparietal,R_supramarginal,L_parstriangularis,R_lingual,R_lingual
20,R_rostralmiddlefrontal,R_rostralmiddlefrontal,R_superiorfrontal,L_inferiorparietal,R_caudalmiddlefrontal,L_parstriangularis,L_parsopercularis,R_cuneus,R_cuneus
21,L_posteriorcingulate,L_posteriorcingulate,L_rostralmiddlefrontal,L_precentral,L_parsopercularis,L_parsopercularis,R_superiortemporal,L_cuneus,L_cuneus
22,R_medialorbitofrontal,R_medialorbitofrontal,R_supramarginal,R_precentral,L_parstriangularis,R_superiortemporal,L_superiortemporal,R_pericalcarine,R_pericalcarine
23,R_transversetemporal,L_lateralorbitofrontal,R_precuneus,R_caudalmiddlefrontal,L_supramarginal,L_superiortemporal,L_middletemporal,L_pericalcarine,L_pericalcarine
24,L_lateralorbitofrontal,R_transversetemporal,R_parsopercularis,L_superiorfrontal,L_superiorparietal,R_bankssts,R_middletemporal,R_supramarginal,R_supramarginal
25,R_lateralorbitofrontal,L_medialorbitofrontal,R_lateralorbitofrontal,L_caudalmiddlefrontal,R_isthmuscingulate,L_middletemporal,L_inferiortemporal,R_paracentral,R_paracentral
26,L_medialorbitofrontal,R_lateralorbitofrontal,L_caudalmiddlefrontal,L_rostralmiddlefrontal,R_pericalcarine,R_middletemporal,R_inferiortemporal,L_paracentral,L_paracentral
27,L_caudalanteriorcingulate,L_caudalanteriorcingulate,L_parsopercularis,L_lateralorbitofrontal,R_rostralmiddlefrontal,R_inferiortemporal,L_fusiform,L_precentral,L_precentral
28,R_insula,R_superiortemporal,R_caudalmiddlefrontal,L_frontalpole,L_frontalpole,L_inferiortemporal,R_parsorbitalis,R_precentral,R_precentral
29,R_superiortemporal,L_insula,L_supramarginal,R_superiorfrontal,L_medialorbitofrontal,R_rostralmiddlefrontal,R_rostralmiddlefrontal,R_transversetemporal,R_transversetemporal
30,L_insula,L_superiorfrontal,L_precuneus,R_paracentral,R_medialorbitofrontal,R_parsorbitalis,R_parstriangularis,L_caudalmiddlefrontal,L_caudalmiddlefrontal
31,R_rostralanteriorcingulate,L_caudalmiddlefrontal,L_inferiorparietal,R_posteriorcingulate,R_insula,R_parstriangularis,L_parsorbitalis,L_bankssts,L_transversetemporal
32,L_caudalmiddlefrontal,R_rostralanteriorcingulate,L_lateraloccipital,R_isthmuscingulate,R_transversetemporal,R_parsopercularis,R_lateralorbitofrontal,R_caudalmiddlefrontal,R_caudalmiddlefrontal
33,R_caudalmiddlefrontal,R_caudalmiddlefrontal,L_parstriangularis,R_lateraloccipital,R_precuneus,R_lateralorbitofrontal,R_medialorbitofrontal,L_parsopercularis,L_parsopercularis
34,L_superiorfrontal,R_caudalanteriorcingulate,L_superiorparietal,R_superiorparietal,R_cuneus,L_bankssts,R_parsopercularis,R_parsopercularis,R_parsopercularis
35,R_caudalanteriorcingulate,L_precuneus,L_precentral,R_postcentral,L_cuneus,L_lingual,L_lingual,L_inferiortemporal,R_bankssts
36,R_temporalpole,R_parstriangularis,R_precentral,R_parsopercularis,L_pericalcarine,L_transversetemporal,L_bankssts,L_transversetemporal,L_parstriangularis
37,R_precuneus,R_precuneus,L_parahippocampal,R_parstriangularis,L_lateraloccipital,R_pericalcarine,L_lateraloccipital,L_middletemporal,L_bankssts
38,R_parstriangularis,L_parsopercularis,L_isthmuscingulate,R_rostralmiddlefrontal,R_lateraloccipital,L_cuneus,R_bankssts,L_superiorfrontal,L_middletemporal
39,L_precuneus,L_parsorbitalis,R_pericalcarine,R_parsorbitalis,R_parsorbitalis,R_cuneus,L_transversetemporal,R_rostralmiddlefrontal,L_superiorfrontal
40,L_parsorbitalis,R_parsopercularis,R_isthmuscingulate,R_lateralorbitofrontal,R_parstriangularis,R_lingual,R_pericalcarine,R_parstriangularis,L_inferiortemporal
41,L_parsopercularis,R_inferiorparietal,R_rostralmiddlefrontal,R_insula,R_parsopercularis,R_insula,L_cuneus,L_parstriangularis,R_parstriangularis
42,R_superiorparietal,R_superiorparietal,R_medialorbitofrontal,R_transversetemporal,R_bankssts,R_paracentral,L_pericalcarine,L_rostralmiddlefrontal,L_superiortemporal
43,L_superiorparietal,L_superiorparietal,R_lateraloccipital,R_bankssts,R_supramarginal,R_fusiform,R_lingual,L_lateralorbitofrontal,L_rostralmiddlefrontal
44,R_lateraloccipital,R_lateraloccipital,R_postcentral,L_isthmuscingulate,R_postcentral,R_transversetemporal,R_cuneus,R_parsorbitalis,R_rostralmiddlefrontal
45,R_parsopercularis,L_lingual,R_superiorparietal,L_precuneus,R_superiorparietal,R_frontalpole,R_fusiform,L_parsorbitalis,R_parsorbitalis
46,L_lingual,R_cuneus,L_postcentral,L_superiorparietal,L_isthmuscingulate,L_parsorbitalis,R_transversetemporal,L_isthmuscingulate,L_parsorbitalis
47,R_cuneus,L_cuneus,R_lingual,L_lateraloccipital,L_transversetemporal,R_medialorbitofrontal,R_paracentral,R_isthmuscingulate,L_lateralorbitofrontal
48,L_cuneus,R_lingual,R_paracentral,L_lingual,L_inferiorparietal,L_medialorbitofrontal,L_frontalpole,L_posteriorcingulate,L_isthmuscingulate
49,R_lingual,R_pericalcarine,L_cuneus,L_parahippocampal,L_caudalmiddlefrontal,L_lateralorbitofrontal,R_frontalpole,R_insula,L_posteriorcingulate
50,R_pericalcarine,L_lateraloccipital,L_pericalcarine,L_pericalcarine,L_precentral,L_frontalpole,L_lateralorbitofrontal,L_medialorbitofrontal,R_isthmuscingulate
51,L_pericalcarine,L_pericalcarine,R_cuneus,L_cuneus,R_posteriorcingulate,L_insula,L_medialorbitofrontal,L_insula,L_insula
52,R_precentral,R_precentral,R_posteriorcingulate,R_cuneus,R_paracentral,L_posteriorcingulate,R_insula,L_rostralanteriorcingulate,L_entorhinal
53,L_precentral,L_precentral,R_parstriangularis,R_pericalcarine,R_precentral,R_posteriorcingulate,L_insula,R_parahippocampal,R_parahippocampal
54,L_temporalpole,R_temporalpole,L_frontalpole,R_lingual,R_superiorfrontal,L_rostralanteriorcingulate,R_posteriorcingulate,L_parahippocampal,L_temporalpole
55,L_postcentral,L_temporalpole,L_rostralanteriorcingulate,R_medialorbitofrontal,R_caudalanteriorcingulate,R_isthmuscingulate,L_rostralanteriorcingulate,L_entorhinal,L_parahippocampal
56,L_lateraloccipital,L_postcentral,L_posteriorcingulate,R_frontalpole,R_rostralanteriorcingulate,R_rostralanteriorcingulate,R_isthmuscingulate,L_temporalpole,L_medialorbitofrontal
57,R_postcentral,R_postcentral,R_bankssts,L_rostralanteriorcingulate,L_rostralanteriorcingulate,L_isthmuscingulate,L_isthmuscingulate,R_frontalpole,R_medialorbitofrontal
58,L_frontalpole,L_parahippocampal,R_rostralanteriorcingulate,L_medialorbitofrontal,R_frontalpole,R_caudalanteriorcingulate,L_posteriorcingulate,L_frontalpole,L_frontalpole
59,L_parahippocampal,L_paracentral,R_transversetemporal,L_insula,R_lateralorbitofrontal,L_entorhinal,R_rostralanteriorcingulate,R_medialorbitofrontal,R_caudalanteriorcingulate
60,L_paracentral,L_frontalpole,R_parsorbitalis,L_transversetemporal,R_lingual,R_entorhinal,R_caudalanteriorcingulate,R_caudalanteriorcingulate,L_caudalanteriorcingulate
61,R_paracentral,L_transversetemporal,L_medialorbitofrontal,L_bankssts,L_lingual,L_temporalpole,L_entorhinal,L_caudalanteriorcingulate,L_rostralanteriorcingulate
62,L_transversetemporal,R_paracentral,L_transversetemporal,R_rostralanteriorcingulate,L_parahippocampal,R_temporalpole,L_temporalpole,R_posteriorcingulate,R_posteriorcingulate
63,R_parahippocampal,R_parahippocampal,R_caudalanteriorcingulate,R_caudalanteriorcingulate,L_precuneus,R_parahippocampal,R_temporalpole,R_rostralanteriorcingulate,R_insula
64,R_frontalpole,R_frontalpole,L_lingual,L_caudalanteriorcingulate,L_postcentral,L_parahippocampal,R_entorhinal,R_temporalpole,R_rostralanteriorcingulate
65,R_inferiorparietal,L_rostralmiddlefrontal,R_frontalpole,L_posteriorcingulate,L_paracentral,L_caudalanteriorcingulate,R_parahippocampal,L_superiortemporal,R_temporalpole
66,L_rostralmiddlefrontal,L_superiortemporal,L_paracentral,L_paracentral,L_posteriorcingulate,L_pericalcarine,L_caudalanteriorcingulate,R_entorhinal,R_frontalpole
67,R_superiorfrontal,R_supramarginal,L_caudalanteriorcingulate,L_postcentral,L_caudalanteriorcingulate,L_fusiform,L_parahippocampal,R_bankssts,R_entorhinal
